Sum of Capital Funding,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,(blank),Grand Total
1001,2115639.332,4116340.854,2843839.852,611397.2023,4008798.125,3177372.554,3395204.263,278272.1807,97953.61596,2546.147983,163512.7056,132377.015,3099.615761,28959.63716,71350.53064,73279.83089,93353.50208,,21213296.97
1003,278084,3790480,3927940,366988,9202628,7827172,678616,76491.1349,104928.8983,446057.196,1913521.229,460450.502,891937.142,1033882.391,297161.4642,122112.5587,187913.2502,,31606363.77
1009,1021020.099,1450872.515,645665.4069,461344.1023,169757.1056,248201.6002,5121885.22,14113.08039,656342.6794,927663.9211,13912.33001,168276.9736,976763.9625,1440334.902,1107467.661,182486.398,1255536.006,,15861643.96
1033,0,301116,83664,124128,50993,377556,1492464,81010,534006,57603,159466,0,0,135835,72301,337737,99288,,3907167
1051,2644549.165,5145426.068,3554799.816,764246.5028,5010997.656,3971715.693,4244005.329,347840.2259,122442.0199,3182.684979,204390.882,165471.2688,3874.519701,36199.54645,89188.1633,91599.78861,116691.8776,,26516621.21
1057,0,0,90256,0,0,431213,9991,19270,89498,0,33794,69300,0,115128,95170,29848,0,,983468
1073,,,,,,,,473682.6383,27604763.34,23243115.17,764923.7901,6880658.475,28716843.63,52812783.8,22246720.55,8856847.812,33135252.62,,204735591.8
1079,0,88654,68231.5,182459,0,0,0,249426,254652,0,0,0,0,0,22456,17259.5,27586,,910724
1081,118865,23895,131934,174995,139857,0,523330,269860,90439,114175,100610,0,0,0,209735,156669,159787,,2214151
1089,477766,173170,5293656,3689865,2698353,985933,1179164,183710,3179879,1126063,1980882,349345,1004209,227221,1492392,301439,1641924,,25984971
1097,,,,,,,,5098562,1606545,871862,1176954,1293647,422018,484205,3173788,1524762,3302262,,18954605
1101,6802597.503,12756928.08,7781298.332,2651511.295,7744501.218,10545484.75,10814123.41,3290525.593,1023602.364,24451.16704,1807633.412,1457160.716,42867.86454,298968.8164,738570.3061,611136.3805,647858.6203,,69039219.83
1103,0,265962,204694.5,547377,0,0,0,748278,763956,0,0,0,0,0,67368,51778.5,82758,,2732172
1113,296891.239,709376.7588,785325.1335,1381074.01,1242404.437,1657519.64,1367904.479,665433.374,1603560.306,558982.9681,604187.0925,2394143.118,658578.6797,781040.7937,1625198.237,1103716.253,2224077.493,,19659414.01
1115,1474806.81,2095704.744,932627.81,666385.9256,245204.7081,358513.4225,7398278.651,20385.56056,948050.5369,1339958.997,20095.5878,243066.7396,1410881.279,2080483.747,1599675.51,263591.4638,1813552.008,,22911263.5
1117,6675333.09,8405766.741,2877982.783,1436709.972,789098.1863,1571716.977,19718952.13,62802.72074,3703343.446,3336889.907,159664.2921,1138985.812,4766183.127,8568921.552,2803016.278,1119366.327,8900199.371,,76034932.71
1125,71356,854952,16607,3800745,7927577,1562253,820495,411808,282863,259207,590610,295211,1277400,41633,1264072,66019,783846,,20326654
2020,11472632,11971217,13943691,20202059,11608795,19256838,14576361,117854026,95936278,60491769,46030030,48241661,55119534,55128070,51052122,51725509,46846578,,731457170
2090,236482,2241976,134738,2912283,0,105792,550838,267931,778918,1642519,629128,276701,444703,416490,569107,52967,1221966,,12482539
4005,0,0,0,2112256,4656178,1594421,2297290,8702166,4355228,4827527,7522828,2724586,3054632,4934922,578467,621631,937358,,48919490
4013,290497794,374989796,547644310,566404985,271344477,73534191,35067266,93357736,122542571,192439430,151157841,125155847,125335478,241444041,197682019,406960980,370608546,,4186167308
4019,6128160,14097059,14141832,12728547,52844653,29383034,34411301,53047809,91311677,47034035,28914065,21489137,4445089,2066378,12196209,3660376,22647944,,450547305
5007,685355.8694,607835.4575,543057.3754,1531011.614,1847333.323,2824612.541,1626986.808,1917979.64,1111838.914,428614.459,1918385.364,1094369.589,2152875.693,3502329.16,6691410.052,3381692.224,2596930.113,,34462618.2
5031,0,0,0,0,0,0,0,243236,21085,70402,1120136,121546,202078,205883,242832,213676,221198,,2662072
5033,127663.1488,60155.99204,133777.3796,48838.00399,837689.0308,162195.2924,954463.8399,500689.7231,463112.4804,91251.87487,146317.8217,266615.0634,240387.9194,146981.2447,1205751.124,282530.3938,476429.1966,,6144849.53
5035,6147908.197,9218899.727,3196191.064,7758266.688,3275323.623,24086898.1,26256609.99,13074712.6,15438744.29,19755256.21,3818525.254,7458149.312,13851847.54,10285375.74,6386193.833,12589190.34,6609130.84,,189207223.4
5095,0,0,0,0,0,0,0,0,0,0,0,1274119.647,78384.3335,37121.78491,34765.10861,26834.85795,234147.7424,,1685373.474
5119,1731948,8002117,4957151,4311839,1786568,9564489,1536013,1808695,3207403,1361078,11814785,2164438,5668193,2151552,3112167,2435733,8339635,,73953804
5131,301749.2608,142186.8903,316201.079,115435.2822,1979992.255,383370.6911,2256005.44,1183448.437,1094629.499,215686.2497,345842.1241,630181.0589,568189.6276,347410.2149,2849957.203,667799.1126,1126105.374,,14524189.8
5143,999144.1161,482618.0791,603825.0749,1089252.119,1779914.913,2429278.357,3296739.741,1373164.483,2288935.726,708350.3675,1340692.545,1733421.421,2217715.638,3398800.312,7425410.958,3088333.945,2361993.146,,36617590.94
6001,,,,,,,,8446476,13479256,6640225,3385470,17871622,37460209,18638211,8504713,3132959,3422318,,120981459
6007,,,,,,,,155184,118016,1358150,3058943,1382644,2937395,4640411,544193,203395,3696728,,18095059
6013,1834788,1551595,1148917,1094563,3680872,1997995,1950925,4289854,11218098,147014,541138,1191423,10768786,8804590,4502093,723934,3228547,,58675132
6017,0,0,0,0,0,0,0,0,0,0,1538135.562,725973.5246,204768.6143,372993.4182,1933055.948,791669.6839,144715.7621,,5711312.513
6019,2670730,14339711,1353212,1108702,493715,7662871,3989379,9807489,5389370,6340025,10067864,3391278,42585732,28724929,6581527,6373309,10307223,,161187066
6025,22943,0,0,0,0,0,0,0,0,0,0,3211455,0,773600,84535,0,0,,4092533
6029,,,,,,,,7797293,3747994,12524197,2554941,1094625,3731367,2322580,14001148,5315241,6344146,,59433532
6031,0,47925,1279071,4859055,1841229,609638,6910458,2614770,1963031,3118587,1348453,4010435,408900,753226,2297060,1921936,5073896,,39057670
6037,24709140,8328962,2224675,4349245,14122169,5972940,17241740,6184361,20373909,15408463,7208624,8778007,19244381,14786071,25905208,23125809,22684278,,240647982
6041,,,,,,,,126348301.8,106269474.1,154915026.5,113406813.3,114037028.5,164574649.1,200807844.6,194202228.8,212951844.2,235428592.8,,1622941804
6047,,,,,,,,1864797,2927733,2109543,447700,5563905,700262,2575810,9098835,57754,26868,,25373207
6053,,,,,,,,2644369,7441405,1946111,14167440,4931889,8572056,32949963,6899282,5608510,14900528,,100061553
6055,951075,99835,368199,187217,400291,2973294,5320067,5327691,10218649,4035852,1431362,6670339,3418141,112854,79271,2486649,609924,,44690710
6059,,,,,,,,1102551308,1070049370,1636154073,2148770997,1903841466,1664467006,1927090482,1923444187,2463952838,2283890679,,18124212406
6065,,,,,,,,62129679.63,132200992,176314309.5,148135065.9,123601638.1,82890487.42,56397185.4,54450283.25,47578748.67,45398102.32,,929096492.2
6071,,,,,,,,51708331.37,81035514.01,134343458.5,114051181.1,108146206.9,56358062.58,32112850.6,27361404.75,32151942.33,24023433.68,,661292385.8
6073,,,,,,,,225994206,323646031,239119089,408100067,273777284,287077760,168373175,183147887,192488573,169118687,,2470842759
6075,217853858.7,188648097.5,283122430,260099824.4,274588455.7,303046439.8,304497546,2282681938,2598449602,3070732268,2620808532,2954682864,3655497376,3976198196,4855792682,4924170128,4023129512,,36793999749
6077,,,,,,,,49800015,57618876,50526454,55912226,18402042,20372418,25071394,44916367,41300549,70471714,,434392055
6079,,,,,,,,1001725,1769832,5676334,5217341,1288594,3133398,1220183,4988014,1800228,13468461,,39564110
6081,1362082469,1074152911,1330995759,1732001528,1739908886,1976098406,2457631878,336377383.5,504535612,577548644.5,509879561.6,608320465.8,546972412.5,603650994.7,682771887.6,700384202.7,715922185,,17459235188
6083,,,,,,,,2401191,2229714,11346530,5639150,8244888,10489853,9236611,10987792,8369586,3221043,,72166358
6085,,,,,,,,365411997.4,374498411.9,538997048.9,722533341.2,657701949.7,516249256.7,342093983.1,423841594.7,418477123.2,244911246.3,,4604715953
6087,,,,,,,,7171565,4715173,12321109,9592752,7850321,3876023,2686242,2902938,7499384,6107893,,64723400
6091,,,,,,,,5125021,7863714,4781754,1696622,9969952,17736210,13569577,15895166,12111612,20069939,,108819567
6095,,,,,,,,6675604.536,6466376.828,8546165.579,13348838.41,28038883.87,16539044.82,14675119.88,9783397,5267792.276,4223894.819,,113565118
6097,,,,,,,,11411114,6086593,14008475,1402350,99230684,68094379,32042829,48194886,42202607,21532179,,344206096
6099,,,,,,,,12332890,2642500,2070484,12520050,2427948,4637841,9735680,11052743,5544380,8699327,,71663843
6107,,,,,,,,99790,1028661,1798021,986568,2632971,83814,1763335,6048681,3532036,2232429,,20206306
6111,,,,,,,,1854124,2600892,2587805,27209457,8882147,10528952,12139363,6320768,13961130,7020655,,93105293
6113,,,,,,,,164228.4643,383715.1717,1765984.421,2703969.585,666856.1321,2019130.177,304467.1167,3334130,2908145.724,2577503.181,,16828129.97
6115,,,,,,,,58351291,51451624,92768849,115110164,79540928,57193455,35207558,24594303,44428676,56606077,,615252925
8001,128048756.9,112477520.2,84169470.01,169876627.4,245512617.3,449165686,337024754,457505160.8,491381663,663005144.4,613417959.5,388715594.1,293040769.2,138815895.3,212607857.4,75005595.09,20807949.52,,4880579020
8005,283665133.8,236721034.5,178914758.9,283279442.2,479231315.3,701563055.9,627226883.5,762828436.7,871031773.2,879525583.1,1092233967,777758271.1,492181775.7,344913740.3,374046231.7,125007265.2,31663387.89,,8541792056
8013,0,0,0,0,0,0,0,0,0,0,128000,199493,353166,81548,76905,664805,2690163,,4194080
8014,12996960.78,8097096.481,7163090.792,18850015.89,17328118.89,43213477.11,68431693.86,64937397.83,53148120,88613356.66,69431344.56,89224139.07,46614420.87,28736909.04,25359331.75,17088004.96,3160612.392,,662394090.9
8031,786986520.8,581143483,398409208.3,816677604.7,1062121612,1921462602,1762905713,1810071307,2108239275,2385749552,2149821927,1748517967,1193079767,982269383.4,983614861.1,266997475.4,83215238.82,,21041283498
8035,6980467,6025956,11152609,4369296,2298486,4552460,3474693,3947331,1933388,3519386,5060397,4601205,6129370,7216076,7522849,2752510,6561275,,88097754
8059,269438084.5,207595231.2,133654270.6,241333938,397693465,715740996.3,626771861.8,631774764.6,643372427.1,733449023.1,734471380.5,687182870.6,448701722.5,336535787.6,296851455.7,89069632.07,26013505.7,,7219650417
8077,,,,,,,,731529,808078,2342232,1602064,608021,2081889,1762038,527310,76509,711262,,11250932
8101,199526,278750,233338,374920,2731934,0,2151282,100972,0,0,385000,0,0,490112,941535,198045,0,,8085414
8121,,,,,,,,417499,1681577,21984625,9306687,1532591,1623964,2010465,6749398,2354629,2463733,,50125168
8123,162326042.3,101245352.7,138509950.4,167391402.8,260820102.7,444656090.5,347733648.6,489452745.4,455251822.1,428038036.4,565154969.7,450792005,241223558.9,181666152.3,209543738.4,43278455.31,23888968.69,,4710973042
9001,10734755.98,7094188.76,8963821.773,5849953.469,9789006.624,8735130.613,42634788.99,11588289.41,12475803.53,6853325.024,47092689.03,11245327.85,44558686.69,15724933.2,9052945.371,28140453.26,26339083.38,,306873183
9003,3007208,16057523,28004817,25058642,2410845,5512940,16039725,9515806,14398443,19111407,48134705,94904377,85844259,87822853,22084739,46627696,31632374,,556168359
9005,7792651.444,4592555.072,3110100.057,1791677.28,11767457.74,8974962.484,27065017.69,2678972.905,2844461.271,1038476.39,7747988.388,1522281.316,8198886.755,2712189.244,1362730.518,3671643.653,4803107.788,,101675160
9009,3683455.796,6791019.515,5909541.939,3500725.672,14415983.98,61818984.19,49126529.48,12949290.85,15558691.17,9461377.342,40846756.26,16802835.32,45261911.15,65728168.87,17395112.25,19210443.99,24841338.68,,413302166.5
9011,33058.54858,116729.7672,218526.5392,436628.7891,0,0,105091.4142,677152.5155,2637860.008,30023.69201,966660.5207,1350876.193,877553.9007,5399697.326,3829857.284,4101941.659,2825881.894,,23607540.05
11001,2379871575,5319022788,5988606345,5543110197,4757645439,4858834869,6126618456,3603246871,4150378984,3678745533,7911971528,7510535283,4516931944,5733195114,7086223082,5603176305,11686899091,,96455013403
12001,3441863,2844690,2632617,4483976,2724188,7504660,1754497,4858407,17756813,22161486,6251962,6356727,5245685,7337552,2385870,1964252,12165941,,111871186
12005,218561,77327,30867,1039942,468062,999948,1332847,954012,952490,1988298,4137171,1170540,476421,0,440462,266910,953877,,15507735
12009,,,,,,,,5105800,2384608,3118181,2685371,2525623,1016051,3883218,306114,4126000,7690609,,32841575
12011,398210366,511954610,526317756,473233568,437344162,385546664,278977874,96879833.61,109377166.9,95776312.84,147606112.5,148979305.8,131270073.9,208154173.8,230145596.8,252100362.4,239551252.2,,4671425191
12019,,,,,,,,3463731.843,5247356.066,2866632.946,1985769.502,8118588.039,6756903.829,8886343.3,8004725.775,4316171.533,10006572.62,,59652795.46
12021,1763602,2402098,1402864,3136630,1080006,5308750,1561978,2613078.634,3286344.769,964293.6174,2440147.537,1842380.021,1091947.231,1975778.053,933396.8081,1517790.579,851101.1482,,34172186.4
12031,,,,,,,,29447187.82,57782209.31,39818686.48,72260139.33,75651270.19,67972245.71,102869050.2,58130465.59,46505721.37,72666229.69,,623103205.7
12033,,,,,,,,248724.8651,588603.1017,2247716.804,7115372.771,1109503.498,401057.858,1258377.609,622529.5358,459354.4413,628778.7498,,14680019.23
12035,,,,,,,,2089560,10737787,4686447,8408290,2677868,3201162,4287943,8658126,5473614,3621513,,53842310
12057,,,,,,,,2421004,1055656,1240012,1628702,1315722,3754709,1153222,3326832,2285643,3358817,,21540319
12069,,,,,,,,1104664,1065312,549342,2631732,235066,455314,1832392,845646,1585708,2784965,,13090141
12071,,,,,,,,9442929.366,28242736.23,25145465.38,16074003.46,14152682.98,7353886.769,8655377.947,7411964.192,6457874.421,8147643.852,,131084564.6
12073,,,,,,,,5959096,6372253,3452197,2366830,0,1712866,933927,11573594,3074686,1771427,,37216876
12081,,,,,,,,6064369,2873154,10529696,10960856,18434688,10630987,3257258,5910972,1729150,7435977,,77827107
12086,,,,,,,,150530312.4,183442737.1,141705909.2,245161627.5,247109154.2,204702800.1,327686358.2,343394185.2,415406837.6,379496609.8,,2638636531
12087,,,,,,,,14137,991194,95884,0,0,462661,934756,378824,3669599,12217,,6559272
12095,,,,,,,,2368015,2007344,289875,1404977,1029167,323298,797294,366177,272982,967307,,9826436
12103,,,,,,,,20374950,49489465,14051110,27788886,16383650,25794421,23364372,39889150,12580231,42078232,,271794467
12109,,,,,,,,5613119.335,10759672.63,5263431.574,6645559.172,7369743.768,6776198.464,7850368.466,5925815.635,6276794.093,11431817.69,,73912520.82
12111,,,,,,,,1054254,4832642,3078612,1773743,2070151,1375788,3120130,1466586,1928775,2051971,,22752652
12113,,,,,,,,273654,830272,1437163,496527,1206687,268991,318635,181151,75039,97611,,5185730
12115,,,,,,,,370542,441352,323011,0,104147,28341,1420062,62423,995444,2972510,,6717832
12117,,,,,,,,12494967,145819173,153732033,57834906,86765176,140435925,113555814,92037240,55540472,59225601,,917441307
13013,337288629.8,293332398.2,317889164.8,510262795.2,409294811,286498884.2,186862979.6,39099897.04,34760253.4,66975167.42,64451076.87,45068319.97,45987170.97,37681106.89,95814986.3,75476680.28,40760457.67,,2887504780
13015,343825231.2,216274926.8,305206445.5,366794013.7,283493248.2,225660233.5,148261186.4,27128853.24,48752196.56,35705139.48,39327724.89,28500518.54,42894402.58,49606910.31,51473369.47,10034189.01,24693330.58,,2247631920
13021,,,,,,,,3157369,554674,759436,2183531,574079,639619,512938,3240564,651257,4210940,,16484407
13045,497625518.7,568306716.6,533414287.6,822245619.6,581827766.9,370973475.6,282291069,32007594.26,60893884.75,83699026.19,55158627.84,49768405.48,32471032.39,61386662.91,50422742.34,83487715.73,54510069.96,,4220490216
13047,2696462.697,7606743.588,4300366.141,7039404.352,17784647.37,9550784.604,8792121.793,1299062.649,2005116.629,2433451.425,611742.685,803932.1242,855487.2997,1072170.627,2080801.831,1708200.888,1041440.962,,71681937.67
13051,,,,,,,,12359731,8405869,3757073,6231602,1569694,3467599,1021117,13743627,1260090,7877412,,59693814
13053,38252.07861,194688.5484,192861.8116,487501.6531,376719.1671,450521.5907,236391.2735,288760.9346,905461.9923,334310.0525,332672.9996,1099434.417,447346.6724,419586.4332,726190.0087,867602.7722,1182747.628,,8581050.034
13057,,,,,,,,21334155.63,40373762.43,77695845.27,65499816.2,40465736.23,20222601,26366366.61,94074367.63,18948029.55,64323382.45,,469304063
13059,1888968.344,4419140.362,1221849.981,3495033.068,5727829.031,5589362.538,6245147.712,13356087.98,16986901.65,20431582.03,9380559.385,11359441.59,6260842.497,11898326.78,14604352.02,39043586.22,73498999.92,,245408011.1
13063,,,,,,,,180242023.1,259145845.8,246950996.8,282699917.1,246961993.2,215850219.4,321501462.4,482120094.2,360221040.5,337768179.6,,2933461772
13067,,,,,,,,299295177.4,361266813.3,468214890.7,366547048.3,346298800.5,303739727.1,432246581.4,465072703,499327350.4,482771075,,4024780167
13073,917510.2637,142865.3936,29627.29204,90614.97551,541695.6202,1331559.092,2194143.399,113719.3976,86418.69249,14918.21797,53024.35046,487312.7389,283729.8752,1320831.301,1170054.089,144199.4309,51587.88943,,8973812.019
13077,525384285.7,461831789.5,493318240.7,530342082.6,429688174.8,286904402.8,306856793.1,41981343.82,14556640.41,74450074.5,57329208.97,57626048.45,43301186.01,46736256.61,89275706.41,26794094.6,55752053.03,,3542128382
13083,980531.8898,2766088.577,1563769.506,2559783.401,6467144.5,3473012.583,3197135.198,472386.4177,729133.3195,884891.4274,222451.8854,292338.9542,311086.2908,389880.228,756655.2112,621163.9592,378705.8045,,26066159.15
13085,43462456.63,46463898.34,46640167.83,64402100.37,58304627.04,52333622.38,28488638.81,5457574.696,5379264.245,10564535.34,9139214.996,7417634.956,5810324.595,9045077.25,13418955.62,14695056.21,10733367.69,,431756517
13089,,,,,,,,875212426,1146626844,1159361410,1070328459,836501469.3,789675933.6,1322437970,1417360398,1241293537,1063421025,,10922219473
13095,839824.875,575602.875,1584468,2325341.25,565145.4375,1090764.563,509945.625,4527279,591899.0625,2025924.75,735167.8125,1293239.25,5840920.125,5346005.063,871612.3125,12612155.63,1737546.188,,43072841.81
13097,,,,,,,,36511047.5,43391058.4,75945055.92,32361902.66,38475700.03,46604024.65,67955591.51,69661546.67,51376498.03,110882200,,573164625.3
13113,120035770.3,196116370.9,158660716.6,158552179.5,239520057.6,125131450.8,97825570.77,30765116.1,26240993.54,15647472.15,32811764.04,38200695.02,33999809.54,37436010.15,61933641.34,39991727.12,18327938.69,,1431197284
13115,98935,1413774,656932,633114,1035497,758214,2776543,387526,332455,943377,287331,306875,894370,814728,564413,287744,111954,,12303782
13117,658176332.6,923905578.5,863839169.7,1260579573,1019336797,641787480,553724488.7,70557281.26,77049803.57,116832797.6,80152644.67,69470013.93,47921517.27,42228826.69,109377460.2,123999734.1,195653489.3,,6854592988
13121,,,,,,,,1584491470,2077536548,2556733828,1934509349,1850034909,1802189048,2557587923,2832498103,3720432549,2165723985,,23081737713
13135,,,,,,,,163130973.6,270857526.8,423009685,377045994.1,284255171.7,199206301.3,399248042.9,363233630.5,366580710.6,411196369.2,,3257764406
13139,932856206.2,1622170851,1328674517,1232255573,1382058263,990363294.8,557402709.4,114341914.6,180652927.1,188905851.7,220100301,124157258.9,147097747.4,338676700.9,235414076.3,303407770.5,285586599.2,,10184122562
13145,124116.6491,449628.0793,202385.8517,901670.8143,840669.2246,694797.9077,864488.7483,196843.7847,838748.5833,252916.4224,243078.1122,928189.6427,358771.9208,289532.5809,483989.662,496479.5891,957454.0171,,9123761.59
13151,,,,,,,,39707354.36,35673529.21,36984179.13,44494101.62,14631516.21,23751295.52,16963716.71,45732639.79,44668910.07,47822750.22,,350429992.8
13157,1528032.073,2230467.451,622109.455,1691310.431,2954861.117,3903512.636,2481541.122,3691842.863,2962402.09,3965297.584,1650123.264,1870572.321,1242931.367,1401419.787,3044773.94,8944588.188,9384991.85,,53570777.54
13177,155523.125,106593.125,293420,430618.75,104656.5625,201993.4375,94434.375,838385,109610.9375,375171.25,136142.1875,239488.75,1081651.875,990000.9375,161409.6875,2335584.375,321767.8125,,7976452.188
13195,394533.5935,785183.3202,377025.2114,453088.6879,1167971.194,1527629.935,727356.0623,2725270.933,1916859.849,1760244.52,1124819.006,1210824.783,699551.6759,1242550.663,1329547.141,2702043.973,8749585.588,,28894086.14
13215,405472.0333,2063698.614,2044335.203,5167517.523,3993223.171,4775528.861,2505747.5,3060865.907,9597897.119,3543686.557,3526333.796,11654004.82,4741874.727,4447616.192,7697614.092,9196589.385,12537124.86,,90959130.36
13217,127978731.3,225567706.5,180624834.3,199350946,230781501.2,123368169,131674051.3,48167231.22,43085703.58,81971492.11,30191321.53,83997778.25,46551810.66,43538247.67,71878719.51,45531832.2,56902579.33,,1771162656
13219,394533.5935,785183.3202,377025.2114,453088.6879,1167971.194,1527629.935,727356.0623,2725270.933,1916859.849,1760244.52,1124819.006,1210824.783,699551.6759,1242550.663,1329547.141,2702043.973,8749585.588,,28894086.14
13221,263022.3957,523455.5468,251350.1409,302059.1253,778647.4628,1018419.956,484904.0416,1816847.289,1277906.566,1173496.347,749879.3376,807216.522,466367.7839,828367.109,886364.7608,1801362.649,5833057.058,,19262724.09
13223,,,,,,,,14925639.89,42307676.25,57156461.7,19231573.78,14202758.4,36291153.85,44495132.24,94985156.47,70852070.31,24779299.95,,419226922.8
13231,16131539.82,54304681.18,28001335.41,39297008.1,51248523.17,22100763.18,27343262.25,10262106.27,17908571.79,38517365.63,22779855.38,25910471.41,19695603.96,21924407.74,19290323.7,33378407.97,29961241.1,,478055468.1
13245,2196008.172,343396.4551,70664.35153,130182.4502,832136.5587,2837782.081,4109798.044,1334790.196,1245229.761,226457.3305,395671.9059,5001957.193,6229323.487,22666079.47,14725931.99,3406122.192,486333.492,,66237865.13
13247,147667766.9,260270430.5,208413270.3,230020322.3,266286347.5,142347887.4,151931597.6,55577574.48,49714273.37,94582490.9,34836140.23,96920513.37,53713627.68,50236439.62,82936984.05,52536729.46,65656822.3,,2043649218
13255,48394619.47,162914043.5,84004006.22,117891024.3,153745569.5,66302289.54,82029786.75,30786318.8,53725715.37,115552096.9,68339566.13,77731414.24,59086811.87,65773223.21,57870971.1,100135223.9,89883723.3,,1434166404
13295,3186728.642,8989787.876,5082250.894,8319296.052,21018219.62,11287290.9,10390689.39,1535255.858,2369683.288,2875897.139,722968.6277,950101.6013,1011030.445,1267110.741,2459129.437,2018782.867,1230793.865,,84715017.24
13297,224740239.3,337879660.7,162791978,432578210.4,232484347.1,178681628.9,131353866.5,34491490.43,33526285.32,59923838.41,22352487.07,34538128.39,16556692.97,37570309.73,49596592.46,30564846.75,26037745.24,,2045668348
15009,0,0,0,0,0,0,0,0,0,1519714,1467672,1652810,2566432,1142011,2079273,3298592,1650739,,15377243
16001,1013788,343970,444770,1368417,1115811,505493,3296716,8083110,5572451,6205956,9702688,6311403,5450583,991549,2420698,1537178,6175284,,60539865
16005,,,,,,,,55974,391573,4998187,334643,17684,508738,709094,1157055,84496,48318,,8305762
16019,,,,,,,,347345,30830,74630,59409,0,0,0,0,0,0,,512214
16055,0,0,0,0,0,0,0,0,0,0,50090,240798,368711,71637,45612,517671,972693,,2267212
17007,,,,,,,,2158105,4005761,546030,1227119,1118700,1470418,1460690,3682081,4692952,4773724,,25135580
17019,405361,1451206,2210964,2822043,2502221,6715190,20624616,10281634,7683335,5386103,3114911,7510788,22292998,7127746,5713134,14314071,17570083,,137726404
17031,6476381184,7767965973,7547075916,9717728001,7162016941,4581225093,5170425195,5996486893,7860184733,6612308020,6429391182,6207100002,6315979414,6023661983,6569279463,8185630904,8529965135,,1.17153E+11
17037,,,,,,,,19478626.64,34044384.62,20190567.42,19960452.84,17163679.07,16393767.01,21521942.88,17716453.6,25057421.71,22536092.63,,214063388.4
17043,339298347.8,361690675.8,322921851.9,671920776.6,406617677.3,252046214.3,282949837.4,158965010.6,201141653,177296094.8,186031272.5,180598533.8,166448637.4,183315666.3,159731844.3,197025088.5,276405612.9,,4524404795
17073,,,,,,,,1497899.286,7076525.168,7592114.038,1083149.572,1518339.319,5276641.272,2695598.077,1697769.952,2143918.752,1496109.42,,32078064.86
17077,0,0,0,0,0,0,0,2647652.966,893189.3793,1762995.862,3577430.621,3348781.655,366324.9655,891438.8966,5456083.862,272612.8276,1796905.793,,21013416.83
17085,,,,,,,,791306.8511,75943.98245,61495.57691,72936.0055,16496.09949,544585.0053,986737.442,85206.4164,568105.0688,54856.03535,,3257668.483
17089,135587558.6,155300781.4,119937762.3,223173077.7,134086917.7,81353899.68,128332714.3,89012464.42,85420081.26,72674014.35,70437924.37,65761476.73,65191914.67,53665305.69,90789976.95,104342765.2,110389626.5,,1785458262
